Director,Rating_Director
Mahesh Babu,6.9
Mahesh Bhatt,5.76
Mahesh Dattani,6.5
Mahesh Kaul,6.68
Mahesh Kodiyal,6.7
Mahesh Kothare,6.7
Mahesh Manjrekar,5.81875
Mahesh Mathai,7.1
Mahesh Nair,4.0
Mahesh Tillekar,4.0
Majid Majidi,7.0
Major Sundarrajan,6.8
Makrand Deshpande,4.833333333333333
Mama,5.2
Manan Katohora,4.9
Manav Bhalla,6.0
Manav Kaul,7.7
Mandeep Kumar,5.8
Mandi Burman,6.0
Maneej Premnath,6.0
Maneesh Sharma,6.55
Mangal Chakravarty,5.0
Mangesh Hadawale,6.0
Mani Kaul,7.111111111111111
Mani Ratnam,7.025
Mani Shankar,5.7
Manik Chatterjee,6.65
Manika Sharma,5.7
Manikya Raju,7.9
Maninder Chana,5.8
Manish Acharya,7.0
Manish Gupta,5.775
Manish Harishankar,4.65
Manish Jha,7.15
Manish Khandewal,4.3
Manish Manikpuri,5.4
Manish Saini,7.8
Manish Sharma,2.9
Manish Srivastav,3.6
Manish Tiwary,5.75
Manish Vatssalya,4.866666666666666
Manivannan,5.8
Manjari Makijany,6.6
Manjeet Singh,6.4
Manmohan Desai,6.534999999999999
Manmohan Krishna,6.0
Manmohan Singh,5.1
Manobala,3.8
Manoj Adhikari,6.8
Manoj Agrawal,4.7
Manoj Amarnani,5.4
Manoj J. Bhatia,4.8
Manoj K. Jha,6.9
Manoj Kumar,6.416666666666667
Manoj Sharma,5.4799999999999995
Manoj Shidheshwari Tiwari,5.033333333333333
Manoj Singh,4.2
Manoj Tyagi,4.8
Mansoor Khan,7.225
Manu Rewal,4.7
Manu Warrier,5.9
Maqbool Khan,4.05
Marco Hülser,8.2
Marina Libik,6.3
Marion Rodrigues,4.1
Mark Ratering,4.3
Maruti,6.7
Master Bhagwan,6.5
Mazhar Kamran,6.8
Mazhar Khan,6.1
Meenal Dixit,9.0
Meera Jasmine,5.9
Megan Doneman,7.6
Megastar Maharishi Aazaad,5.7
Megha Ramaswamy,5.4
Meghna Gulzar,6.266666666666666
Mehboob Khan,7.0
Mehmood,6.383333333333333
Mehul Kumar,5.2266666666666675
Meneka Das,6.2
Meraj,7.05
Michael Winterbottom,6.0
Mikhil Musale,6.2
Milan Luthria,5.766666666666667
Milann Ajmera,5.2
Milap Zaveri,3.875
Milind Dhaimade,7.8
Milind Gadagkar,3.2
Milind Rau,6.8
Milind Ukey,5.8
Mira Nair,7.7
Mitali Ghoshal,6.1
Mitra Sen,8.2
Mohammed Hussain,5.975
Mohammed Israr Ansari,3.6
Mohan Babu,7.25
Mohan Bhakri,4.375
Mohan J. Bijlani,6.85
Mohan Kavia,7.6
Mohan Kumar,6.176923076923076
Mohan Savalkar,5.0
Mohan Segal,6.628571428571428
Mohan Sharma,3.1
Mohan Singh Rathor,5.7
Mohan Sinha,7.2
Mohana Krishna Indraganti,6.9
Mohanji Prasad,4.466666666666667
Mohit Goswami,6.0
Mohit Hussein,6.2
Mohit Suri,6.133333333333333
Mohit Takalkar,5.9
Mohsen Makhmalbaf,6.0
Moni Bhattacharjee,6.4
Moosa Saleem,7.5
Moti B. Gidwani,7.0
Mozez Singh,6.1
Mrighdeep Lamba,5.866666666666667
Mrinal Sen,7.1625
Mrityunjay Devvrat,6.7
Muazzam Beg,7.1
Mudassar Aziz,5.225
Mukesh Chhabra,6.6
Mukesh Duggal,5.5
Mukhtar Ahmed,2.9
Mukul Abhyankar,6.85
Mukul Anand,6.445454545454546
Mukul Dutt,6.050000000000001
Munindra,2.7
Munish Bhardwaj,5.6
Munni Pankaj,9.4
Muppalaneni Siva,5.6
Murali Nair,5.8
Murugan Kumaran,5.3
Mustafa Engineer,6.7
Muzaffar Ali,6.05
N. Chandra,6.171428571428572
N. Linguswamy,6.9
N. Maharajan,4.9
N. Narasimharao,6.8
N. Ragavan,5.3
N.D. Kothari,3.5
N.K. Vishwanathan,7.3
N.M. Kelkar,8.0
N.S. Raj Bharath,5.3999999999999995
N.T. Rama Rao,7.5
Nabendu Ghosh,7.3
Nabh Kumar 'Raju',5.15
Nachiket Samant,7.7
Nadeem Khan,5.0
Naeem Sha,4.2
Naeem Siddiqui,6.3
Nag Ashwin,5.0
Nagesh Bhonsle,7.3
Nagesh Kukunoor,6.991666666666667
Nakul Singh Sawhney,6.7
Naman Nitin Mukesh,5.4
Nana Kldiashvili,7.6
Nanabhai Bhatt,5.38
Nanda Anand,6.0
Nandakishore,6.2
Nandita Das,7.4
Nandlal Jaswantlal,6.733333333333333
Narayan Chauhan,8.1
Narayan k Sahu,5.3
Narayana Rao Dasari,5.616666666666667
Narendra Bedi,6.318181818181818
Narendra Singh,8.600000000000001
Narendra Suri,7.1000000000000005
Naresh Kumar,5.99
Naresh Lalwani,5.3
Naresh Malhotra,4.65
Naresh Saigal,6.5
Naseeruddin Shah,6.5
Nasir Hussain,6.872727272727272
Nassar,6.1
Navaniat Singh,5.5
Navdeep Singh,7.366666666666667
Navin Batra,1.9
Navjot Gulati,3.6
Navneet Behal,4.4
Neelam r Singh,8.1
Neelu Arora,6.4
Neeraj Ghaywan,7.133333333333333
Neeraj Pandey,7.459999999999999
Neeraj Pathak,4.666666666666667
Neeraj Udhwani,5.8
Neeraj Vora,5.2
Neerav Ghosh,7.1
Neil Biswas,5.6
Nemom Pushparaj,3.2
Neshu Saluja,7.6
Nicholas Kharkongor,7.0
Nicholas Meyer,6.1
Nicolas Chevaillier,5.3
Nikhil Bhat,6.8
Nikhil Mahajan,7.1
Nikhil Mahar,9.3
Nikhil Pherwani,7.2
Nikkhil Advani,5.8100000000000005
Nila Madhab Panda,7.2
Nilay Dave,7.6
Niren Lahiri,7.3
Nisar Ahmad Ansari,5.8
Nishikant Kamat,7.359999999999999
Nishil Sheth,6.8
Nishtha Jain,7.5
Nitesh Tiwari,7.975
Nitin Bose,7.275
Nitin Chandra,6.7
Nitin Gupta,7.6
Nitin Kakkar,7.140000000000001
Nitin Manmohan,4.4
Nitin Raghunath,6.7
Nitya Mehra,5.3
Nupur Asthana,6.2
O.P. Dutta,6.6
O.P. Goyle,5.8
O.P. Ralhan,6.885714285714285
Om Prakash,6.7
Om Raut,7.6
Om Sai Prakash,5.6
Omung Kumar,5.625
Onir,6.3
Onkar Nath Mishra,5.4
Ovais Khan,4.4
P. Madhavan,6.25
P. Pullaiah,8.5
P. Sambasiva Rao,6.800000000000001
P. Satya,6.4
P. Vasu,4.7
P.A. Arun Prasad,5.75
P.C. Barua,6.2
P.L. Santoshi,6.966666666666666
Pa. Ranjith,6.45
Pachhi,6.4
Padam Kumar,4.3
Padmakumar Narasimhamurthy,8.1
Pamela Rooks,6.7
Pammi Somal,4.9
Pan Nalin,7.225
Pankaj Advani,5.2
Pankaj Johar,7.9
Pankaj Kapur,4.7
Pankaj Parashar,5.754545454545454
Pankaj Saraswat,5.6
Pankaz Singh Tanwar,4.5
Pappu Verma,5.5
Param Gill,5.6
Parasuram,4.8
Pardeep Raja,4.7
Paresh Vinodray Savani,7.066666666666666
Paritosh Painter,4.2
Parmeet Sethi,6.0
Parth Sharma,8.9
Partho Ghosh,4.864705882352942
Partho Mitra,5.2
Partho Sen-Gupta,6.2
Parvati Balagopalan,6.1
Parvati Menon,7.6
Parvin Dabas,4.8
Parvinder Singh Wraich,8.7
Pavan Kaul,4.75
Pavan Kumar,5.7
Pavithran,5.1
Pawan Gill,4.5
Pawan Kripalani,5.566666666666667
Pawan Kumar Sharma,6.5
Pawan k Shrivastava,6.6
Perarasu,2.8
Phani Majumdar,7.0
Pia Sukanya,4.5
Piyush Bose,8.2
Piyush Dinker Pandya,6.6
Piyush Jha,6.4
Piyush Kumar,4.5
Pon Kumaran,7.2
Pooja Bhatt,4.279999999999999
Prabhakar Meena Bhaskar Pant,6.2
Prabhakar Shukla,5.8
Prabhas,7.3
Prabhat Khanna,4.2
Prabhat Kumar,6.7
Prabhat Roy,6.3
Prabhat Sachdeva,8.1
Prabhu Deva,4.37
Prabhu Rathod,7.5
Prabhuraj,5.6
Prabu Solomon,9.1
Pradeep Kumawat,5.0
Pradeep Maini,4.3
Pradeep Sarkar,6.14
Pradip Jain,4.3
Pradip Krishen,7.2
Praful Tiwari,4.0
Prahlad Sharma,5.5
Prajact Rebeloma,7.3
Prakash Arora,8.0
Prakash Jha,6.533333333333333
Prakash Kovelamudi,5.9
Prakash Mehra,6.088888888888889
Prakash Nambiar,5.7
Prakash Saini,3.8
Prakash Verma,5.4
Pramod Chakravorty,6.329411764705883
Pramod Joshi,6.9
Pramod Mandloi,1.7
Pranav Singh,5.7
Prashamit Chaudhury,6.4
Prashant Bhargava,6.2
Prashant Chadha,3.25
Prashant Gore,5.5
Prashant Nair,6.4
Prashant Nanda,7.6
Prashant Singh,4.4
Prateek Chakravorty,6.2
Prateek Vats,7.4
Prathap Pothen,6.866666666666667
Pratik Mittal,8.4
Praveen Kumar,5.7
Praveen Morchhale,6.1
Praveenkanth,6.1
Pravesh Bhardwaj,4.2
Pravin Bhatt,6.9
Prawaal Raman,5.5600000000000005
Prayag Raj,6.033333333333334
Prem,7.3
Prem Lalwani,4.05
Prem Narayan Arora,6.966666666666666
Prem Prakash,6.7
Prem Prakash Modi,8.4
Prem Sagar,6.5
Prem Soni,3.7
Prerna Wadhawan,4.1
Prithvi Konanur,8.0
Prithviraj Sukumaran,7.5
Pritish Chakraborty,6.1
Priya Krishnaswamy,7.3
Priyadarshan,6.296551724137931
Priyanka Singh,7.3
Prosit Roy,6.6
Pryas Gupta,6.6
Puja Bedi,2.3
Pulkit,5.1
Punarvasu Naik,6.9
Puneet Issar,5.5
Puneet Khanna,5.7
Puneet Sira,5.0
Punit Malhotra,4.233333333333333
Puri Jagannadh,5.3
Pushan Kripalani,7.3
Pushkar Mahabal,7.5
Pushpdeep Bhardwaj,6.0
Pushpendra Nath Misra,5.5
Pushpendra Singh,6.7
Qasim Khallow,7.0
Qaushiq Mukherjee,4.95
R. Balki,6.9
R. Bhattacharya,4.8
R. Krishnamurthy,6.766666666666667
R. Krishnan,6.8
R. Madhesh,5.1
R. Mittal,6.050000000000001
R. Thyagaraajan,5.9
R.C. Talwar,6.966666666666666
R.K. Nayyar,6.775
R.K. Rakhan,7.8
R.K. Selvamani,7.0
R.N.R. Manohar,6.0
R.P. Swamy,4.3
R.S. Prasanna,6.9
Raaghav Dar,5.3
Raaj Shaandilyaa,7.0
Raajeev Walia,1.8
Raam Shetty,4.633333333333333
Rabi Kinagi,5.7
Rabindra Dharmaraj,6.8
Rackhee Sandilya,6.9
Radha Krishna Jagarlamudi,6.366666666666667
Radhika Rao,5.166666666666667
Radhu Karmakar,7.4
Raghav Jairath,9.3
Raghunath Jhalani,6.5
Raghuraj,5.8
Raghuram,6.3
Raghuvir Kul,5.3
Rahat Kazmi,5.066666666666666
Rahi Anil Barve,8.3
Rahul Aggarwal,6.1
Rahul Bhole,8.4
Rahul Bose,6.85
Rahul Dahiya,8.3
Rahul Dholakia,6.025
Rahul Kumar Shukla,5.0
Rahul Rawail,5.358823529411764
Rahul Shanklya,7.1
Raj Amit Kumar,5.1
Raj Bharat,6.1
Raj Kanwar,4.89375
Raj Kapoor,7.145454545454545
Raj Kaushal,4.8999999999999995
Raj Khosla,6.572727272727272
Raj Kumar Gupta,6.5200000000000005
Raj Mehta,6.9
Raj N. Sippy,5.175
Raj Pendurkar,4.6
Raj Purohit,5.6
Raj Rishi,7.0
Raj Shetty,5.2
Raj Singh Chaudhary,6.0
Raj Tilak,6.666666666666667
Raja Bundela,6.2
Raja Chanda,5.3
Raja Menon,6.525
Raja Nawathe,6.88
Raja Sen,4.9
Raja Thakur,6.2
Rajan Johri,5.4
Rajan Khosa,6.949999999999999
Rajan Kothari,7.1
Rajan Kumar Patel,5.5
Rajan Waghdhare,4.7
Rajasekar,7.199999999999999
Rajasekhar,5.3
Rajashekhar,5.9
Rajat Bhardwaj,9.3
Rajat Kapoor,6.7
Rajat Kumar Chaturvedi,8.7
Rajat Mukherjee,4.966666666666666
Rajat Rakshit,6.733333333333333
Rajat Rawail,3.5
Rajatesh Nayyar,5.8
Rajeev Bhatia,5.8
Rajeev Chaudhari,2.8
Rajeev Jhaveri,4.7
Rajeev Kumar,4.68
Rajeev Nagpal,5.3
Rajeev Virani,4.5
Rajendra Bhatia,6.8
Rajendra Kumar,6.5
Rajendra Prasad V.B.,3.7
Rajendra Singh 'Atish',7.2
Rajesh Babbar,6.9
Rajesh Bachchani,6.3
Rajesh Bajaj,1.9
Rajesh Bhatt,5.1
Rajesh Ganguly,6.7
Rajesh Hans,7.0
Rajesh Krishnan,7.6
Rajesh Kumar Singh,3.2
Rajesh Mapuskar,6.4
Rajesh Pandey,2.7
Rajesh Pillai,6.7
Rajesh Ram Singh,4.4
Rajesh Ranshinge,4.2
Rajesh Seth,5.199999999999999
Rajesh Shera,6.6
Rajesh Vakil,6.3
Rajesh. K.,6.5
Rajiev Dhingra,7.3
Rajinder Singh Bedi,7.199999999999999
Rajiv Babbar,5.2
Rajiv Chilaka,5.9
Rajiv Dhingra,4.4
Rajiv Kapoor,5.7
Rajiv Mehra,6.0
Rajiv Rai,5.814285714285715
Rajiv S. Ruia,4.109090909090909
Rajkumar,8.6
Rajkumar Hirani,8.059999999999999
Rajkumar Kohli,5.04375
Rajkumar Santoshi,6.771428571428571
Rajni Basumatary,8.0
Rajnish Thakur,3.4
Rajpal Yadav,5.4
Rajsekhar,5.0
Rajshree Ojha,5.0
Raju Desai,6.0
Raju Khan,3.6
Raju Mavani,4.4
Raju Subramaniam,4.0
Raka,5.9
Rakesh Bedi,2.1
Rakesh Chaturvedi Om,5.550000000000001
Rakesh Kumar,5.9
Rakesh Mehta,5.3
Rakesh Parmaar,6.699999999999999
Rakesh Prasad,7.2
Rakesh Ranjan Kumar,3.5
Rakesh Roshan,6.023076923076923
Rakesh Sarang,3.8
Rakesh Sawant,6.15
Rakeysh Omprakash Mehra,6.483333333333333
Ram Daryani,6.4
Ram Dayal,6.6
Ram Gopal Varma,5.491176470588235
Ram Govind,5.5
Ram Kamal Mukherjee,6.5
Ram Kamlani,5.9
Ram Madhvani,7.6
Ram Maheshwari,6.075
Ram Mukherjee,7.25
Ram P. Sethi,5.7
Ram Ramesh Sharma,7.1
Rama Rao Tatineni,5.3999999999999995
Raman Kumar,4.625
Ramana,3.8000000000000003
Ramanand Sagar,6.659999999999999
Ramanarayanan,3.9
Ramanlal Desai,4.8
Ramanna,6.0
Ramanna T.R.,4.8
Ramesh Ahuja,5.3
Ramesh Behl,6.275
Ramesh Lakhanpal,6.6
Ramesh Modi,4.949999999999999
Ramesh Puri,4.5
Ramesh Saigal,7.114285714285714
Ramesh Sippy,6.118181818181818
Ramesh Talwar,6.483333333333333
Ramin Bahrani,7.1
Ramkishan Choyal,8.8
Ramkumar Shedge,8.0
Ramu Kariat,7.7
Randeep Jha,7.1
Randhir Kapoor,6.433333333333334
Ranga B.S.,7.0
Rani Mukerji,3.9
Ranjan Bose,4.6
Ranjan Chandel,7.2
Ranjeet,5.4
Ranjit Kapoor,6.0
Ranjit Tewari,6.2
Rasool Ellore,5.6
Ratan Sil Sarma,6.8
Ratnaa Sinha,7.6
Ravi Adhikari,7.3
Ravi Chopra,6.0875
Ravi Dewan,4.2
Ravi Godse,7.7
Ravi Jadhav,4.9
Ravi K. Chandran,3.5
Ravi Kapoor,5.4
Ravi Kumar,7.2
Ravi Rai,5.8
Ravi Raja,5.4
Ravi Raja Pinisetty,5.720000000000001
Ravi Sharma Shankar,3.6
Ravi Tandon,6.476923076923077
Ravi Udyawar,7.3
Ravi Varma,5.8
Ravichandran,5.15
Ravikant Nagaich,6.484615384615385
Ravinddra Khare,3.3
Ravindra Dave,6.4799999999999995
Ravindra Gautam,6.0
Ravindra Peepat,4.86
Reema Kagti,6.866666666666667
Reema Rakesh Nath,5.3
Rehman Naushad,5.3
Remo D'Souza,4.133333333333334
Remy Kohli,6.6
Renuka Shahane,6.1
Renzil D'Silva,5.7
Revathi,6.449999999999999
Ribhu Dasgupta,5.666666666666667
Richard Attenborough,8.0
Richie Mehta,7.3
Rikhil Bahadur,5.9
Rima Das,6.8
Rishi Kapoor,5.5
Rishi Prakash Mishra,5.8
Ritam Srivastav,7.3
Ritesh Batra,7.35
Ritesh Menon,6.666666666666667
Rituparno Ghosh,7.05
Robbie Grewal,6.575
Robert Lieberman,5.7
Robin Khosla,6.7
Rohan Sippy,6.0
Rohena Gera,7.7
Rohit Arora,8.7
Rohit Dhawan,5.4
Rohit Dwivedi,8.1
Rohit Jugraj,4.666666666666667
Rohit Kaushik,6.199999999999999
Rohit Krishnakant Nayyar,4.35
Rohit Manash,4.4
Rohit Mittal,5.9
Rohit Philip,7.1
Rohit Shetty,5.730769230769231
Rohit Vaid,7.7
Roland Joffé,4.6
Romesh Sharma,6.15
Romilla Mukherjee,6.2
Rosauro Adorable,5.5
Roshan Abbas,4.0
Ruchi Narain,5.7
Ruchika Oberoi,6.7
Rumi Jaffery,4.35
Rupali Guha,5.8
Rupesh Paul,6.7
S Krishna,6.4
S. Ali Raza,6.8
S. Bannerjee,6.733333333333333
S. Deepak,4.7
S. Khalil,7.3
S. Manasvi,5.3
S. Narayan,7.65
S. Ram Sharma,7.1
S. Ramanathan,6.540000000000001
S. Shankar,7.166666666666667
S. Soni,4.2
S. Sukhdev,6.9
S. Sunil,9.0
S.A. Akbar,6.166666666666667
S.A. Chandrashekhar,5.2
S.A. Kader,5.7
S.D. Narang,6.8
S.J. Suryah,4.4
S.K. Ojha,7.5
S.K. Subash,4.733333333333333
S.M. Abbas,7.05
S.M. Sagar,5.75
S.N. Tripathi,5.8
S.P. Muthuraman,6.2700000000000005
S.R. Puttana Kanagal,7.1
S.S. Balan,6.85
S.S. Ravichandra,5.5
S.S. Vasan,6.942857142857143
S.U. Sunny,7.25
S.U. Syed,4.1
S.V. Krishna Reddy,6.5
S.V. Rajendra Singh Babu,5.45
Saad Khan,7.5
Saahil Prem,5.1
Saandesh Nayak,4.4
Saawan Kumar Tak,5.055555555555555
Sabal Singh Shekhawat,6.2
Sabir,4.2
Sabir Khan,4.425
Sabyasachi Mohapatra,7.9
Sachin Bajaj,3.3
Sachin Bhowmick,6.7
Sachin Gupta,4.55
Sachin Kamlakar Khot,3.7
Sachin Kundalkar,4.4
Sachin P. Karande,6.833333333333333
Sachin Pilgaonkar,5.74
Sachin Yardi,5.6000000000000005
Sachindra Sharma,1.6
Sadaqat Hussein,3.9
Sadashiv Amrapurkar,7.0
Sadashiv J. Row Kavi,5.9
Sadhana,6.9
Saeed Akhtar Mirza,7.220000000000001
Safdar Rahman,6.5
Sagar Ballary,5.575
Sagar Pathak,8.3
Sagar Sarhadi,6.85
Saheem Khan,5.8
Sahil Sangha,5.8
Sai Kabir,4.5
Sai Paranjape,7.459999999999999
Saif Baidya,7.5
Sajid,4.75
Sajid Ali,7.8
Sajid Khan,4.0600000000000005
Sajid Nadiadwala,5.3
Sajit Warrier,4.4
Saket Chaudhary,6.733333333333333
Saket S. Behl,7.1
Salim Raza,2.7
Samar Iqbal,5.5
Samar Khan,5.35
Sameer Hanchate,7.2
Sameer Joshi,6.3
Sameer Khan,4.05
Sameer Malkan,5.275
Sameer Sharma,6.6
Sameer Sippy,4.0
Sameer Thahir,7.7
Sami Khan,7.5
Samir Ganguly,6.766666666666667
Samir Joshi,6.2
Samir Karnik,5.033333333333333
Samir Soni,5.5
Samir Tewari,3.6
Samit Basu,5.5
Samit Kakkad,5.4
Samudra V.,3.9
Sanal Kumar Sasidharan,7.0
Sanamjit Singh Talwar,5.2
Sandeep A. Varma,7.2
Sandeep Chatterjee,3.3
Sandeep Mohan,7.2
Sandeep Pandey,6.8
Sandeep Reddy Vanga,7.1
Sandip Ray,7.8999999999999995
Sangeeth Sivan,4.428571428571429
Sanghamitra Chaudhuri,6.5
Sanjay Amar,5.85
Sanjay Bhatia,4.8
Sanjay Chhel,3.875
Sanjay D. Singh,6.1
Sanjay Dayma,6.7
Sanjay F. Gupta,5.5
Sanjay Gadhvi,5.328571428571428
Sanjay Gupta,5.466666666666666
Sanjay Jadhav,5.9
Sanjay Jha,6.2
Sanjay Khan,5.966666666666666
Sanjay Khanna,4.8
Sanjay Leela Bhansali,7.122222222222222
Sanjay M. Khanduri,5.75
Sanjay Patel,7.3
Sanjay Puran Singh Chauhan,7.550000000000001
Sanjay Sharma,4.75
Sanjay Soorkar,6.3
Sanjay Talreja,6.3
Sanjay Tripathy,7.3
Sanjay Zaveri,3.1
Sanjeev Gupta,6.0
Sanjeev Kumar Rajput,6.7
Sanjeev Puri,4.5
Sanjeev Reddy,6.1
Sanjeev Sharma,5.7
Sanjib Dey,6.5
Sanjiv Jaiswal,5.55
Sanjivan Lal,7.3
Sanjoy Nag,6.550000000000001
Sankalp Reddy,7.6
Sanoj Mishra,6.766666666666666
Santosh Sivan,7.08
Santram Varma,5.2
Sapna Bhavnani,9.3
Saran,6.6
Sarath Babu,6.6
Sardar Talukdar,5.0
Sareesh Sudhakaran,6.4
Sarita Khurana,6.9
Sarmad Khan,4.5
Sartaj Singh Pannu,6.45
Sarthak Dasgupta,6.25
Sathya Prabhas Pinisetty,6.6
Sathyan Anthikad,7.6
Satish Kasetty,6.8
Satish Kaushik,5.014285714285714
Satish Nigam,6.6
Satish Rajwade,5.7
Satpal,6.0
Sattwik Mohanty,7.3
Satyajit Bhatkal,6.3
Satyajit Ray,7.449999999999999
Satyanarayana,5.7
Satyen Bose,7.18
Saumyy Shivhare,8.3
Saurab Narang,5.0
Saurabh Gulab Rao,8.5
Saurabh Kabra,4.2
Saurabh Shukla,5.3
Saurabh Varma,5.85
Savin Tuscano,5.4
Seema Bhargava,7.6
Seema Kapoor,4.8
Sekhar Suri,6.8
Sekhar Surya,8.1
Selva,3.6
Seshu Kmr,6.6
Shaad Ali,5.6000000000000005
Shadaab Mirza,5.1
Shadab Ahmad,9.0
Shadab Khan,4.0
Shafi Inamdar,6.3
Shahab Shamsi,4.7
Shaheed Latif,6.975
Shahrukh Mirza,5.7
Shahrukh Sultan,6.7
Shailendra Shukla,6.6
Shailendra Singh,6.5
Shailesh Verma,4.7
Shakeel Noorani,4.35
Shakir Khan,6.8
Shakirul Alam,7.5
Shakti,8.2
Shakti Samanta,6.622580645161291
Shakun Batra,5.833333333333333
Shamin Desai,3.7
Shammi,6.1
Shammi Chhabra,5.1
Shammi Kapoor,6.733333333333333
Shamshad Pathan,3.9
Shankar Addi Mehra,7.5
Shankar Mukherjee,6.925
Shankaraiya,5.1
Shanker Raman,6.5
Shankhadeep,3.7
Shantanu Anant Tambe,3.5
Shantaram Rajaram Vankudre,7.0249999999999995
Shantilal Soni,6.166666666666667
Sharad Sharan,4.6
Sharan Sharma,5.3
Sharat Katariya,6.975
Sharique Minhaj,6.8
Shashank Khaitan,5.533333333333334
Shashank Kumar,7.6
Shashank Udapurkar,4.9
Shashanka Ghosh,5.675
Shashant Shah,6.633333333333333
Shashi Kapoor,5.3
Shashi Ranjan,3.3
Shashi Sudigala,6.1
Shashilal K. Nair,5.45
Shatilal Soni,8.3
Shatrujit Paul,6.1
Shaukat Hussain Rizvi,7.5
Shaurya Singh,6.8
Shawn Arranha,3.4000000000000004
Sheershak Anand,4.15
Shefali Bhushan,6.2
Shekhar Ghosh,4.3
Shekhar Kapur,7.933333333333334
Shekhar S. Jha,6.75
Shekhar Sirrinn,5.3
Shekhar Suman,5.1
Shekkhar Suri,6.8
Shelly Chopra Dhar,5.5
Sher Jung Singh,4.9
Shibu Mitra,5.3625
Shiladitya Moulik,6.5
Shilpa Ranade,7.0
Shilpi Dasgupta,4.0
Shimit Amin,7.833333333333333
Shirish Kunder,4.433333333333333
Shiv Hare,8.2
Shiv Kumar,4.35
Shiv Sahni,6.5
Shiva,4.8
Shiva Shakti Datta,4.3
Shivajee Chandrabhushan,7.1
Shivaji Lotan Patil,5.8
Shivakumar,5.5
Shivam Nair,6.4
Shivendra Singh Dungarpur,7.8
Shivram Yadav,4.949999999999999
Shlok Sharma,6.050000000000001
Shomu Mukherjee,5.1000000000000005
Shona Urvashi,5.25
Shonali Bose,7.366666666666667
Shoojit Sircar,7.5
Shrabani Deodhar,4.1
Shravankumar Tiwari,5.3
Shree Narayan Singh,6.133333333333333
Shrey Srivastava,3.75
Shreyas Talpade,5.4
Shrikant Sharma,4.4
Shripal Morakhia,4.3
Shriram,5.3
Shubh Mukherjee,4.9
Shubham Singh,5.5
Shubhashish Bhutiani,7.1
Shuja Ali,5.1
Shujaat Saudagar,5.0
Shukla Barnali Ray,4.3
Shyam Benegal,7.25
Shyam Madiraju,7.7
Shyam Ralhan,5.3
Shyam Ramsay,5.447826086956522
Sibte Hassan Rizvi,5.7
Siddharth Anand,5.966666666666666
Siddharth Anand Kumar,6.3
Siddharth Malhotra,6.55
Siddique,4.7
Sidharth Srinivasan,6.05
Sikandar Khanna,6.65
Sikander Bharti,4.325
Simi Garewal,7.2
Singeetam Srinivasa Rao,6.24
Sisir Misra,4.5
Sisir. P. Mishra,4.7
Siva,5.4
Smeep Kang,4.25
Sneha Taurani,6.0
Snehashish Mondal,8.9
Sohail Khan,4.933333333333334
Sohail Tatari,6.033333333333334
Soham Shah,4.699999999999999
Sohan Roy,3.3
Sohanlal Kanwar,5.666666666666667
Sohrab Modi,7.2
Sonam Nair,5.6
Soni Razdan,3.9
Sooni Taraporevala,7.6
Sooraj R. Barjatya,6.016666666666667
Soumendra Padhi,7.6
Soumik Sen,5.466666666666666
Soumitra Ranade,5.65
Sourabh Shrivastav,5.4
Sourabh Shrivastava,5.825
Sreenu Vaitla,5.4
Sridhar Rangayan,6.533333333333334
Srijit Mukherji,6.699999999999999
Srikanth Velagaleti,6.0
Srinivas Bhashyam,4.9
Srinivas Sunderrajan,5.7
Srinivasa Rao Jonnalagadda,4.5
Sriram Raghavan,7.220000000000001
Sriramulu Naidu S.M.,7.2
Stanley D'Costa,1.8
Stanley Joseph,7.4
Steven Spielberg,6.4
Subhankar Ghosh,8.0
Subhash Agrawal,7.7
Subhash Ghai,6.225
Subhash Kapoor,6.3999999999999995
Subhash Sehgal,4.449999999999999
Subhash Sonik,4.7
Subodh Mukherji,6.7375
Subodh Nagdeve,7.9
Subroto Paul,3.9
Sudarshan Nag,5.1
Sudeep,6.5
Sudesh Issar,7.7
Sudha Kongara,8.35
Sudhanshu Saria,5.8
Sudharshan Lal,2.9
Sudhendu Roy,6.8999999999999995
Sudhir Mishra,6.730769230769231
Sudhish Kumar Sharma,4.9
Sudip Bandyopadhyay,6.3
Sudipto Chattopadhyay,3.7
Suhaib Ilyasi,7.8
Suhas Kadav,6.7
Suhasini,7.0
Sujeet Kumar,8.0
Sujoy Ghosh,6.233333333333333
Sukhwant Dhadda,7.1
Sukumar Nair,6.8
Sultan,2.8
Sultan Ahmed,5.46
Suman Ganguli,5.7
Suman Ghosh,7.6
Sumeer Sabharwal,1.9
Sumnash Sri Kaljai,6.3
Sunaina Bhatnagar,5.8
Sunanda Mitra,4.5
Sundar C.,5.275
Sundeep Malani,4.2
Sunder Dar,5.9
Sunder Pal,6.2
Suneel Darshan,4.122222222222223
Suneet Arora,3.9
Suneil Anand,4.8
Sunhil Sippy,4.3
Sunil Agnihotri,4.16
Sunil Dutt,6.82
Sunil Hingorani,5.3
Sunil K. Reddy,4.4
Sunil Kumar Desai,6.3
Sunil Pal,4.3
Sunil Sanjan,5.1
Sunil Shah,5.8
Sunil Sharma,4.5
Sunil Sikand,4.7
Sunil Subramani,5.4
Sunil Tiwari,5.0
Sunny Bhambhani,5.3
Sunny Deol,5.3999999999999995
Suparn Varma,4.833333333333333
Supavitra Babul,4.1
Suraj Joshi,8.3
Suraj Prakash,6.171428571428572
