Actor,Rating_Actor
Anita Hassanandani Reddy,4.55
Sameer Khan,5.1
Ajay,4.4
Tanvi Verma,4.7
Abhijeet Singh,6.8
Lucy Bartholomew,6.9
Neeta Mehta,6.5
Pooja Hegde,5.7
Rajat Barmecha,6.1
Santosh Barmola,4.6
Manish Paul,4.375
Shraddha Das,3.5
Sheen,6.2
Rita Bhatia,7.8
Mikhail Belinson,6.8
Dev Goel,3.0
Padmapriya,5.7
Anushka Sharma,6.512499999999999
Parvin Dabas,5.6
Sushant Singh Rajput,6.6625
M. Madhusudhana Rao,5.8
Sonia Albizuri,5.05
Chandra Mohan,6.3
Sheela,7.7
Archana Puran Singh,6.6
Piaa Bajpai,4.9
Rohit Roy,2.75
Vikas Bhalla,3.7
Winston Chao,6.2
Shadab Khan,5.050000000000001
Shekhar,7.4
Prashant Pandey,7.8
Saadhika,5.6
Vivaan Bhimani,6.2
Nemi Chand,4.5
Rajesh Bakshi,3.9499999999999997
Dhruv Ganesh,5.8
Madhubala,7.05
Trimala Adhikari,5.6000000000000005
Amruta Khanvilkar,3.55
Emma Dean,7.0
Chamak Chamkila,6.6
Gurleen Chopra,4.5
Sarita Joshi,7.55
Mithila Palkar,6.5
Karan Arora,7.4
Shamna Kasim,6.0
Wasabi Mizuta,6.8
Anupam Kher,5.41
Sohniya,7.1
Gautam Rode,3.6
Anita,4.3
Giri Babu,6.0
Richard Harris,1.6
Tinku,6.3
Sammy Jonas Heaney,3.0
Manoj Bajpayee,6.224521072796934
Ben Kingsley,8.0
Satchit Puranik,3.6
Anjali Patil,6.55
Chandni,6.4
Samar Chatterjee,8.2
Bobby Kumar,6.8
Rhea Chakraborty,6.025
Shahbaz Khan,8.7
Amy Maghera,5.85
Farheen Khan,7.7
Majnu,6.4
Ajit Sinha,6.0
Deven Bhojani,6.449999999999999
Neeraj Sood,5.1
Babita Kapoor,6.118181818181818
Chitrangda Singh,6.033333333333334
Saathi Ganguly,3.9
Jaz Pandher,4.7
Sharman Joshi,4.895
Ronit Roy,6.725000000000001
Chirag Saluja,6.3
Surekha Sikri,7.45
Jugal Hansraj,4.825
Tarun Anand,6.9
Shreya Tyagi,8.1
Durga Khote,7.475
Samrat,3.9
Mumtaz,6.247685185185185
Shadaab Khan,3.7
Anuj Tyagi,7.9
Shreeram Lagoo,5.966666666666667
Bobby Khan,3.9
Arshad Warsi,5.517132867132867
Sidhant Kapur,5.0
Kishore Kadam,7.4
Mukesh Hariawala,6.5
Shahid Kapoor,5.362499999999999
Jigna Bhardwaj,5.8999999999999995
Shahana Goswami,6.166666666666667
Deep Katdare,6.6
Suresh Gopi,5.25
Talat Aziz,6.800000000000001
Vineet Kumar Singh,7.8
Farhad Ahmed Dehlvi,8.6
Karim Hajee,5.9
Ajit Banerjee,7.0
Rohini Hattangadi,7.6499999999999995
Sphadikam George,4.5
Zarina Wahab,6.3
Ravindra Sahu,6.1
Manoj Punj,5.5
Margarita Terekhova,7.6
Khausal Bharti,5.9
Simran Sharma,5.7
Vijaya Choudhury,6.3
Krishan Kumar,5.0
Preeti Mehra,6.3
Bobby Deol,5.0353535353535355
Mayank Agarwal,5.2
Olga Anand,4.2
Sunidhi Chauhan,6.800000000000001
Ruby Barnhill,6.4
Birendra Nath Tiwari,3.7
Anaitha Nair,7.1
Shilpa Shirodkar,4.8500000000000005
Pooja Bhatt,5.4714285714285715
Sanjay Suri,5.1
Sachin Khedekar,6.8999999999999995
Yash Dave,5.6
Kumud Chuggani,4.4
Mandy Takhar,6.3
Juhi Chawla,5.685714285714285
Sapna Sappu,4.67
Ihana Dhillon,6.4
Shakila,6.725
Pooja Chopra,3.4
Nagarjuna Akkineni,6.046666666666667
Usha Kiran,7.3
Prashantt Guptha,4.85
Soundarya,5.65
Fawad Khan,6.4
Priyaank Sharma,4.4
Ravi Jhanghu,8.9
Madan Lal,8.0
Izabelle Leite,6.3
Ganesh Acharya,4.6
Brij Gopal,7.0
Aditya Srivastav,5.625
Aarti Chhabria,5.050000000000001
Diljit Dosanjh,5.975
Heenee Kaushik,3.8
Tanushree Dutta,3.966666666666667
Subramanian Swamy,9.2
Kiran Rathod,6.25
Jameel Khan,6.2
Lauren Spartano,7.9
Sarath Babu,5.6
Rukshar Dhillon,6.0
Triyug Mantri,9.3
Anand Tiwari,6.7
Ashlin Harris,6.8
Edie Mirman,6.8
Rakul Preet Singh,2.7
Sudip Mukherjee,5.6
Rajiv Thakur,5.5
Usha Sharma,8.3
Bhankheri Devi,7.1
Jasmin,6.6
Marc Zuber,6.425
Vasili Pronin,7.0
Pradhuman Singh,7.2
Sumit Nijhawan,5.35
Parineeti Chopra,5.210714285714285
Abhay Bhargava,5.3
Azb Dahal,5.2
Sujeet Chaubey,6.2
Manish Mathur,4.8
Tulsi Ramsay,5.74
Kainaz Motivala,5.4
Master Bunty,5.1
Jayam Ravi,5.4
Saira Banu,6.529999999999999
Tahir Raj Bhasin,7.3
Apoorva Lakhia,5.7
Kumar Gautam,2.8
Poonam Bajwa,3.4
Andrew Shaver,5.6
Anoushka,6.4
Dhruva Padmakumar,8.1
Jyoti Dogra,6.1
Arshad Khan,5.9
Himesh Reshammiya,2.8285714285714287
Sharad Kelkar,6.4
Ila Arun,6.175000000000001
Vicky Kaushal,7.1625
Jayprakkash Shaw,3.9
Rajan P. Dev,4.5
Anmol Dhillon,4.5
Sunil Pal,4.6
Akkash Basnet,3.5
Abigail Eames,6.2
Darshan Jariwala,6.75
Deepti Bhatnagar,4.5
Gullu Dada,6.949999999999999
Prema,5.6
Kishore Anand Bhanushali,4.1
Sajal Ali,7.3
Prachi Desai,4.1
Ruby Bharaj,7.5
Mita Vashisht,7.25
Mahesh Anand,5.0649999999999995
Sanjeeda Sheikh,3.4
Avii,5.9
Babbu Mann,6.2
Raghu Rai,6.4
Javed Abedi,6.3
Bramhaswaroop Mishra,7.6
Sadiya Azgar,6.8
Feroz Khan,6.216386554621849
Sarosh Irani,7.3
Sushmita Sen,4.906666666666666
Yashi Kapoor,3.4
Narasimha Raju,6.6
Simran Kaur Mundi,5.466666666666666
W.M. Khan,8.5
Dalip Tahil,5.233333333333333
Arjun Chakrabarty,8.7
Varsha Usgaonkar,4.85
Sweta,5.65
Ulhas,6.8
Amy Jackson,5.45
Ranji Vijayan,6.6
Uttam Kumar,6.791666666666667
Neelam Kothari,5.136363636363637
Kunal Kohli,5.4
Ram Mohan,4.7
Vikram Kochhar,6.3
Sunny Leone,3.245
Vidya Sinha,7.183333333333334
Anang Desai,5.4
Aditya Narayan,5.4
Rakshitha,6.9
Ujjwal Rana,5.9
Taneea Rajawat,7.4
Krrish Chhabria,7.9
Ankit Desai,7.0
Sombhu Mitra,8.2
Karan Dewan,7.5
Navdip Singh,5.5
Nirosha,7.3
O.P. Ralhan,7.1
Garima,6.9
Rocky Sandhu,3.7
Mondeep Basumatary,8.0
Aakash Kumar Sehdev,6.8
Abir Insan,5.1
Maninder Singh,2.9
Aamir Bashir,7.5166666666666675
Ravi Chauhan,5.8
Farida Jalal,7.75
Rajesh Sabharwal,6.1
Shobha,6.6
Gurfareen Bano,6.4
Puneet Singh Ratn,5.9
Aarti S. Bagdi,9.2
Rajeev Dassani,4.7
Akanksha Puri,4.2
Sameer Dharmadhikari,4.550000000000001
Ramkishan Choyal,8.2
Rukhsar Rehman,6.5
Garrick Chaudhary,7.0
Ananya Panday,2.25
Amyth Sethi,4.2
Vijay Verma,6.2
Yashpal Sharma,6.875
Ma Anand Sheela,4.1
Alismita Goswami,5.4
Ishwar Singh,4.7
Nethra Raghuraman,6.0
I.S. Johar,6.65
Vivaan Shah,6.35
Golshifteh Farahani,5.9
Sourabh Arora,7.5
Tannishtha Chatterjee,7.113333333333333
Mink Singh,5.6
Nakul Roshan Sahdev,8.0
Dhwani Gautam,4.8
Salim Amrohi,6.1
Samit Bhanja,7.05
Swara Bhaskar,5.425000000000001
Ammara Ali,4.9
Sandeepa Dhar,5.725
Gavie Chahal,5.95
Ashish Kumar,6.2
Aamir Khan,6.763636363636364
Aradhya Taing,5.1
Sarthak Bhasin,7.0
Kubbra Sait,7.0
Nitish Bharadwaj,4.8
Fearless Nadia,5.3
Bharat Dungrani,3.4
Karan Sharma,7.1
Luke Kenny,3.5
Paresh Ganatra,5.3
Abhijeet Bagalkote,5.4
Prit Kamani,5.75
S.M. Iqbal,3.9
Mirza,7.3
Joemon Joshy,5.3
Kunal Goswami,5.2
Shahrukh Mirza,6.25
Minissha Lamba,6.05
Vadivelu,3.1
Rannvijay Singh,6.5
Anita Guha,7.175000000000001
Arjun Hingorani,6.4
Tina Ambani,6.127272727272728
Tara-Alisha Berry,5.366666666666667
Harshvardhan Rane,7.45
Kamaljit Singh,5.8
Lehar Khan,7.1
Makrand Deshpande,6.737500000000001
Anuradha Hasan,7.0
Gagan Guru,5.8
Mukesh Ahuja,6.8
Khurshid Begum,7.5
Shoma Chaudhury,4.1
Raj Premi,6.15
Rameshwari,6.7
Faryal,5.9
Nidhi Singh,6.8
Kumar Neeraj,6.0
Kamran,2.8
Sajeel Parakh,6.2
N.T. Rama Rao Jr.,6.8
Linda Arsenio,4.8
Kiran Bedi,7.6
Vijay Sadanah,6.2
Shaurya Singh,6.8
Dibakar Banerjee,5.8
Dharmesh Yelande,4.4
Tovah Feldshuh,7.7
Arvind,7.5
Parvathy Thiruvothu,7.1
Badri Singh,8.2
Cherry Mardia,4.9
Bhoomika Chawla,5.56
Kiku Sharda,6.1
Sonal Singh,5.1
Rahul Pendkalkar,4.4
Joy Sengupta,6.2
Milind Ukey,7.6
Vikas Sethi,3.5
Taha Shah Badussha,4.8
Chriselle Almeida,4.9
Moon Moon Sen,7.2
Nikki Galrani,6.6
Raja Bherwani,5.8
Arti Rautela,6.4
Mridula Baruah,2.7
Neha Hinge,5.5
Fahad Mustafa,7.8
Samyukta,6.7
Karan Razdan,4.9
Rimjhim Gupta,6.4
Mukesh Rishi,6.65
Shefali Shah,6.275
Ankur Tewari,6.3
Neetu Chandra,6.3999999999999995
Neena Gupta,6.699999999999999
Ramesh Aravind,6.5
Anil Kapoor,5.4852861952861955
M.K. Radha,6.9
Anil Chouhan,5.4
Ali Murad,7.3
Vikas Anand,4.978571428571428
Armaan Shahabi,4.0
Lydian Nadhaswaram,8.2
Yogeeta Bali,5.933333333333334
Sameera Reddy,5.475
Mouni Roy,6.85
Madhavan,6.5702380952380945
Ruchika Dhankhar,8.2
Shreedevi Chowdary,6.8
Aleksandr Zguridi,7.1
Jagapathi Babu,6.6
Mahendra Sandhu,6.029999999999999
Hayley Cleghorn,5.6
Shahid Gulfam,6.7
Jayashree,6.8
Surveen Chawla,5.7
Pratima V. Kulkarni,5.8
Sunny Sachdeva,8.3
Sonu Chourasia,5.6
Bhushan Agarwal,3.2
Suresh Chatwal,7.0
Darsheel Safary,6.2
Adil Hussain,6.40625
Aban Raza,5.6
Tanikella Bharani,5.925
Meera Chaudhary,6.7
Upen Patel,2.3
Akbar Khan,4.9
Salim Fateh,5.8
Kelli Garner,6.0
Mugdha Chaphekar,7.25
Sheetal Singh,8.6
Robin Sikarwar,5.7
Indraneil Sengupta,6.35
Aadar Jain,5.6
Meka Srikanth,6.4
Nilofer Khan,3.9
Sidhant Gupta,4.6
Ananth Narayan Mahadevan,6.35
Girish Taurani,5.1
Setareh Noori,7.5
Arunoday Singh,4.75
Mohammad Amir Naji,6.4
Yash Gawli,5.4
Prabhakar,8.4
Sakshi Tanwar,7.6
Ferdous Ahmed,5.199999999999999
Tina Desai,4.9
Sippy Gill,6.4
Prithviraj Sukumaran,5.800000000000001
Amardeep Jha,6.8
U.R. Ananthamurthy,7.8
Leera Kaljai,6.3
Avinash Tiwary,7.199999999999999
Christopher Coelho,7.7
Ishaan Khattar,4.575
Hina Tasleem,4.4
Hamid Farokhnezhad,2.6
Simone Singh,6.4
Deeya Dey,7.4
Nicole Kidman,8.0
Ali Asgar,3.275
Himanshu Malik,5.575
Mangal Dhillon,6.6
Lena Christensen,4.6
Saasha Aery,8.7
Madhu Acharya,4.3
B.V. Nandini Reddy,5.0
Saheem Khan,5.8
Shailendra Gaur,6.8
Aaloka,5.2
Vinay Anand,7.6
Karan Ashar,5.85
Raj Singh Chaudhary,7.375
Tanveer Hashmi,2.5
Vishwesh Krishnamoorthy,5.7
Chirag Paswan,2.5
Rajinikanth,5.776923076923077
Ritu Shivpuri,4.2
Indrapal Ahuja,5.9
Ashwin Shukla,6.0
Seema,6.5
Shreya Dhanwanthary,6.0
Kumkum,6.15
Sachin Pilgaonkar,6.92
Rohit Bal,5.1
Ashok Chaudhary,7.6
Anuradha Patel,4.9
Samiksha Bhatt,5.8
Kishan Shrikanth,7.2
Himalaya,3.3
Ajitesh Bannerjee,7.9
Jyotika,6.550000000000001
Saveree Gaur,7.8
Purab Kohli,5.8125
Ajay Kkhundal,7.8
Amrita Singh,4.722222222222222
Anshu,6.3
Harish Raj,7.7
Sonal Sehgal,5.825
Sooraj Balaji,3.1
Rachita Bhattacharya,5.8
Harbans Darshan M. Arora,5.2
Prashant Chianani,4.6
Raj Vasudeva,4.6
Sayani Gupta,6.75
Vijay Maurya,6.95
Birbal,5.468055555555555
Rajendra Gupta,7.8
Yogesh Shah,8.1
Aniruddh Dave,6.9
Sanjay Gupta,5.7
Vikas Kalantri,5.95
Gael García Bernal,5.4
Hansika Motwani,4.45
Agha,6.2
Salman Khan,5.263404977375566
Esha Deol,4.266666666666667
Sakshi Gulati,4.0
Karthik,5.8
Neha Dubey,6.9
Garima Insan,5.1
Meghna Desai,1.7
Vinay Sapru,5.166666666666667
Chitrangada Chakraborty,7.75
Shruti Agarwal,4.9
Kaifi Azmi,7.0
Veer Gujjar,4.8
Bunty Soorma,4.9
Bhaskarabatla Usha,5.7
Suzanne Bernert,6.15
Liyaqat Bari,7.0
Ajaykumar,5.4
S.N. Banerjee,7.1
Sherlyn Chopra,4.225
Balwant Dullat,5.9
Koena Mitra,5.7
Sharmin Segal,6.0
Anshuman Jha,6.0
Vikrant Verma,6.0
Isabelle Kaif,1.8
Rajesh Malik,6.0
Rati Agnihotri,5.351470588235294
Ankush Chaudhari,6.2
Sam Nagar,4.55
Arya Babbar,3.55
Vinay Shukla,8.7
Jhuma Biswas,4.9
Nancy Brunetta,5.4
Dulquer Salmaan,6.800000000000001
Tabrez Hashmi,4.0
Pahadi Sanyal,7.0
Tusshar Kapoor,4.31875
Pierce Brosnan,6.1
Aachi Manorama,5.6
Masha Pour,6.7
Pratima Devi,6.3
Ratan Aulakh,3.9
Kajal Solanki,7.4
Karamveer Choudhary,7.6
Suresh,6.5
Sushant Singh,6.775
Ritu Parna,4.6
Aalam,6.7
Anumeha Singh,8.3
Nidhi Sunil,5.0
Ravi Khanvilkar,7.5
Tim Berrington,8.2
Nagesh,5.5
Mangesh Borgaonkar,6.2
Nasir Khan,6.35
Gabriella Wright,5.6
Ramola,7.0
Ayan Banerjee,7.2
Chandan Roy Sanyal,6.65
Afsheen Jamal,6.1
Sathyan,7.7
Varun Sharma,5.4
Nyla Masood,7.2
Vikram Gokhale,5.6
Prakash Belawadi,6.8
Tara Deshpande,6.375
Chandra Shekhar Dutta,6.699999999999999
Kirsty Averton,8.2
Mithun Chakraborty,5.5594780219780215
Vinay Virmani,5.85
Reshama Pasha,6.6
Sheena Shahabadi,6.2
Kamal Rashid Khan,1.4
Priyadarshini,5.7
Romin Khan,7.4
Sima Taparia,6.9
Vatsala Deshmukh,7.4
Aftab Shivdasani,4.578571428571428
Ridhima Sud,6.6
Priyanka Chopra Jonas,5.467499999999999
Pradeep Kumar,6.620833333333334
Sidharth Malhotra,5.630952380952381
Manav Kaul,6.140000000000001
Vyjayanthimala,6.905303030303031
Khushboo Khan,3.6
A.H. Shore,6.2
Nani,6.9
Gul Panag,5.5166666666666675
Mandy Gill,5.4
Imran Abbas,4.05
Aishwarya,7.574999999999999
Sandeep Bhardwaj,6.7
Puneet Issar,4.5
Madan Deodhar,7.6
Aishwarya Arjun,3.8
Haidar Ali,3.0
Karhan Dev,6.8
Gurpreet Kaur Chadha,6.05
Ajay Gehi,6.1
Aditi Govitrikar,2.4
Amjad Khan,6.800000000000001
Niranjan,8.0
Sanket Dhawan,6.3
T.S. Balaiah,6.6
Archana,5.8
Mukta Barve,6.35
Srividya,7.5
Anwar Hussain,5.0
Siddharth Koirala,3.8
Ashima Bhalla,3.7
Mayuri Kango,7.0
Deepak Dobriyal,5.845000000000001
Jacqueline Fernandez,4.4
Jafar Abbas,6.5
S. Panju,6.8
Jay Bhanushali,4.4
Navjot Hansra,7.0
Kumar Iyengar,4.6
Shilpa Shukla,5.75
Nargis Fakhri,6.56
Amrish,5.7
Dhanush,6.616666666666667
Raj Nidimoru,6.56
Imran Rasheed,6.8
Patthabi Jois,6.7
Amol Palekar,6.8910256410256405
Pooja Kumar,8.1
Dinesh Hingoo,5.15
Sada,3.5
Shataf Figar,6.8
Govind Namdeo,4.2
Armaan Jain,4.9
Rajesh Mittal,7.2
Naman Jain,6.2
Ramya Krishnan,7.380000000000001
Sathyaraj,7.3
Dilip Prabhavalkar,5.85
Mohd. Zeeshan Ayyub,5.4
Fefsi Vijayan,3.1
Rajit Kapoor,6.67
Nirmal Pandey,7.175000000000001
Vidya Malvade,6.6499999999999995
Adhvik Mahajan,4.0
Raksha Mistry,4.3
Saiyami Kher,5.199999999999999
Siddharth Bhardwaj,6.2
Raveena Tandon,5.11
Talat Mahmood,6.0
Akshaye Khanna,5.954166666666666
Sanjeev Giriwer,6.4
Nishant Dahiya,4.3
Minoo Mumtaz,6.7
Martin Sheen,7.2
Akkineni Nageshwara Rao,7.1
Suchitra Sen,7.574999999999999
Hashmat Khan,5.1
Afzal Khan,3.5
Leena Chandavarkar,6.465384615384615
Prateek Pachauri,6.8
Op Rai,6.4
Anil v Kumar,4.2
Ganesh Venkatraman,3.9
Mudasir Zafar,6.4
Rishi Bhummi,7.0
Zayed Khan,4.370833333333334
Rajesh Sharma,7.1
Shiraz Hussain,7.9
Rambha,5.6
Ritika Badiani,7.0
Raman Trikha,2.6
Amrit Raj Gupta,7.2
Pankaj Kapur,7.585714285714285
Rozina,6.1
Desh Mukherjee,3.9
Juhaina Ahsan,6.7
Mehar Mittal,8.9
Hatha Yogi Baba,7.3
Somy Ali,5.362500000000001
Koyel Mallick,5.7
Ranbir Kapoor,6.935714285714285
Amal Sherawat,2.4
Nishi Neha Mishra,9.4
Sharad S. Kapoor,5.225
Imaaduddin Shah,7.15
Sameer Gupta,6.4
Prabhu,6.7
Umesh Mehra,6.0
Virendra Giri,6.1
Dinyar Contractor,4.2
Ali Larter,4.8
A.S. Ravindra Babu,4.8
Simon Frenay,4.3
Mona Wasu,5.8
Aruna Shields,4.2
Nishant Lal,4.5
Arun Mathur,4.3
Sumit Suri,6.3
Roopa Ganguly,4.7
Mushtaq Khan,4.0
Anjali Jathar,4.949999999999999
Arpita Banerjee,8.9
Pooja Bedi,4.2
Sadhana,7.084375
Shantaram Rajaram Vankudre,7.566666666666666
Tushar Jalota,3.6
Asheem Chakravarty,8.9
Mahesh Manjrekar,5.15
Apache Indian,5.1
Rekha Rana,5.5
Emraan Hashmi,5.611538461538462
Manish Anand,4.1
Pitobash,7.05
Arsh Sandhu,8.0
Aatish Devgan,2.9
Amit Behl,5.4
Adarsh Gourav,7.1
Piyali Munshi,4.6
Vishnupant Pagnis,6.7
Dolly Ahluwalia,6.0
Shivani Raghuvanshi,6.8
Radharani,6.1
Vibha Chhibber,7.9
Akhilesh,5.9
Smriti Mundhra,6.9
Sanaya Irani,5.0
Satish Vyas,6.7
Amit Suryavanshi,3.6
Paakhi A. Tyrewala,6.1
Farid Amiri,3.05
Jayashree Basavaraj,7.2
Sayeeda Khan,6.699999999999999
Esmayeel Shroff,6.1
Ileana D'Cruz,5.55
Aishwarya Narkar,4.0
Deepak Bahry,4.8
Samiksha Bhatnagar,6.583333333333334
Padma Khanna,4.9
Madhuri Bhattacharya,3.4
Shree Ghatak,6.5
Niharika Singh,6.800000000000001
Iqbalnath Kaul,6.9
Gaurav Gautam,5.25
Mahie Gill,5.891666666666667
Moin Khan,7.2
Aditya Bal,5.3
Flora Saini,4.55
Latika,7.4
Priya Annatram,6.8
Ratna Bhooshan,8.1
Ratna Pathak Shah,7.550000000000001
Gagansharmaknl,8.1
Bhumi Pednekar,5.39375
Lisa Haydon,4.9
Leeza Mangaldas,6.6
Baba Sehgal,4.35
John Gielgud,8.0
Anjaan,8.0
Gurmeet Choudhary,3.966666666666667
Raushan Jha,7.4
Monika Ravan,5.6
Jeevan Kala,7.3
Ekaansh Bhaardwaaj,3.6
Master Romi,7.6
Omna,5.5
Sonal Mudgal,5.7
Ettienne Couthino,6.7
Meher Vij,7.05
Romit Raj,6.9
Bharathi,6.9
Parzaan Dastur,6.4
Meera Devi,8.1
Mugdha Godse,4.441666666666666
Mohan Choti,6.5
Kushagra Anand,3.6
Anirban Bhattacharya,7.8
Raj Babbar,5.980625
Mansi Multani,7.0
Rajvirr Singh,6.2
Krishna Bhatt,4.85
Aditi Bhaskar,6.0
Muhar Biswas,7.5
Sana Khaan,4.4
Gayatri Joshi,8.2
Tillotama Shome,7.525
Prajakt Rebeloma,7.3
Sandeep Bedi,5.3
Bobby Darling,5.883333333333333
Sunil Shetty,4.776930596285435
Rajendra Kumar,6.458928571428571
Meenakshi Dixit,3.9
Rimi Sen,7.0
Bashir Qawal,7.2
Bharath Srinivasan,2.8
Vivek Kumar,5.7
Nivin Pauly,7.5
Ratnabali Bhattacharjee,6.3
Prem Nath,6.525
Pooja Bharti,3.8
Vikrum Kumar,3.0
Vishal Desai,6.0
Puneet Sikka,8.2
Jayasudha,7.5
S.U. Sunny,5.5
Siddharth Gupt,6.5
Ashwath Bhatt,8.1
Florian Lukas,7.1
K.L. Saigal,6.866666666666667
Catherine Fallows,6.7
Ami Arora,6.6
Karwarkar Bhavika,6.8
Barkha Bisht,6.9
Kareena Kapoor,5.394444444444444
Vaibhav Jhalani,4.6
Prince Adhikari,5.4
Abhinay Banker,8.1
Arjun Fauzdar,2.7
Chitram Basha,7.449999999999999
Rajeev Anand,6.3
Sahil Khan,4.8
Sahil Vaid,6.6
Meenu Hooda,6.6
Nagesh Kukunoor,7.2
Aarthi Agarwal,6.5
Maggie Smith,6.6
Sadakkit Bijran,6.7
Mia Malkova,2.0
Benny John,9.0
Abhilash Chaudhary,4.4
Parikshit Sahni,7.09
Shafi Inamdar,4.9
Reema Lagoo,7.7
Mohan Avanthika,3.3
Leena Kapoor,3.5
Rahul Sharma,3.3
Johnny Baweja,3.1
Sachin,5.74
Ragini Khanna,5.5
Ajay Chourey,6.1
Brahmachari,6.4
Mohammad Samad,7.3
Gouri Mahato,8.2
Shweta Dadhich,4.5
Aditya,6.2
Shardul Bharadwaj,7.4
Yash Krishnani,5.4
Abhimanyyu Abhimanyu,4.55
Peter Mugyenyi,7.7
Aashi Rawal,6.4
Shivangi Gautam,6.7
Supriya Pathak,6.816666666666667
Anil Chaudhary,6.3
Sangeetha,7.2
Rohan Kapoor,5.7
Parambrata Chattopadhyay,6.475
Sagarika Ghatge,4.35
Akash Sagar Chopra,4.3
Ravi Kumar,8.2
J.S. Randhawa,5.7
Salim Diwan,6.0
Anita Kanwar,7.375
Sohrab Modi,7.050000000000001
Erica Fernandes,6.7
Rishikesh Raj,3.8
Neil Nitin Mukesh,4.656666666666666
Suruchi Aulakh,3.6
Ranjeeta Kaur,6.568181818181818
Amala Akkineni,6.65
Devika Rani,6.5
Bidita Bag,5.6375
Farhan Akhtar,6.989285714285714
Candice Boucher,4.4
Pallavi Sharda,4.6
Bijay Anand,4.6
Neha Dhupia,5.114583333333334
Mohit Ahlawat,5.449999999999999
Mrinmayee Godbole,6.2
Prasenjit Chatterjee,5.949999999999999
Raai Laxmi,5.15
Aadil Abedi,6.7
Karanvir Malhotra,5.4
Swarup Dutt,7.2
Aditya Seal,3.0
Rekha Vedavyasa,3.9
Abhay Singhal,7.6
Pradeep Rangwani,3.9
Vijay Sethupathi,6.5
Fatima Sana Shaikh,5.9
Shwetha Gupta,8.2
Moushumi Chatterjee,6.847727272727273
Aziz,7.3
Ishita Chauhan,5.3
Vishay Waghela,6.5
Shahnawaz Bhat,6.550000000000001
Mahesh Jilowa,7.9
Rotem Bar,3.8
Kriti Kharbanda,5.8
Mohan Joshi,5.85
Kavya Trehan,5.0
Rajkumar Kanojia,4.8
Shilpa Anand,5.95
Poornima Jayaram,6.1
Devesh Ranjan,7.8
Isaiah,4.15
Sunil Kumar Agrawal,4.300000000000001
Deepak Bandhu,6.2
Harshvardhan Kapoor,6.1
Karanvir Bohra,3.8000000000000003
Richa Chadha,5.38
Amarjeet,4.35
Sudesh Berry,4.9399999999999995
Kahaan,7.8
Arya,5.3
Deepika Padukone,6.116071428571429
Daisy Shah,4.4
Jayant Kripalani,7.25
Arsh Bajwa,6.6
Glen Barreto,2.7
Nanda,6.771578947368421
Kenneth Desai,6.4
Sandeep Bose,4.4
Raghu Kumar Karumanchi,7.1
Laxmikant Berde,5.4833333333333325
Maria Goretti,6.9
Gautam Gupta,2.7
Anil Devgan,4.0
Manoj Bidwai,1.9
Krishan Hooda,7.2
Amruta Subhash,6.7
Sanjay Dadhich,6.0
Sikandar Agarwal,6.0
Deep Dhillon,5.8
Pranay Pachauri,5.9
Ramesh Goyal,2.7
Roshan Bano,6.6
Kabir Sajid,6.3
Silk Smitha,5.0
Amyra Dastur,4.866666666666667
Arun,6.3
Nikita Anand,3.2
BuAli Shah,6.2
Surendra,6.825
Anusha Bose,6.3
Meghana Mudiyam,7.7
Amerjit Deu,5.2
Gautam Gulati,2.9
Rehana,6.925
Ghulam Ali,8.9
Naresh Sharma,7.3
Mark Ellam,7.4
Jim Sarbh,7.55
Ahsaas Channa,4.6
Rajat Bedi,5.75
Juni,3.6
Joshua Fredric Smith,3.3
Priyanka Sonawane Hedau,7.6
Navinder Pal Singh,6.9
Akhil Gautam,7.9
Robin Sohi,4.3
K. Raghavendra Rao,6.7
Perthvi Jutsi,8.6
Rakesh Khanna,6.5
Sikandar Kher,4.75
Nagesh Bhonsle,5.0
Alexx O'Nell,6.3
Basant Josalkar,7.2
Sagar Arya,5.2
Arman Khan Achakzai,4.2
Anju Kurian,5.4
Sakthi Chidambaram,6.1
Tulip Joshi,6.75
Rocky Bhatia,4.4
Heramb Tripathi,4.6
Deepak S. Shivdasani,4.7
Anjori Alagh,7.2
Suhasini,6.1
Neela Gokhle,6.2
S.S. Vasan,7.1
Gurdeep Singh,6.9
G. Ananthappa,7.8
Mala Sinha,6.6685
Rehaan Engineer,5.9
Yugesh Anil,5.6
Anand Sami,6.7
Shashank Udapurkar,4.9
Tony Pietra Arjuna,5.6
Urvashi,6.8
Dolly Bindra,2.1
Radha,6.3
Ravi Sah,6.6
Aayush Sharma,3.0
Kartik Elangovan,5.6
Himanshu Kohli,6.0
Raja Bundela,6.6
Prashant Prakash,6.7
Sarita Choudhury,4.7
Siddharth,6.7250000000000005
Bina,6.4
V.M. Badola,7.1
Vishvendra Singh,6.3
Master Vithal,6.2
Mohit Das,6.1
Shahbaaz Khan,5.300000000000001
Natalya Gudkova,3.6
Gabriela Bertante,3.6
Shoma Anand,5.766666666666667
Chandrachur Singh,4.45
Samrat Mukherjee,3.8
J. Sreeniwas Rao,4.5
Aadhi,6.6
Armaan Sandhu,8.3
Tom Alter,6.353571428571429
Suchendra Prasad,8.4
Kangana Ranaut,5.704166666666667
Lorena Franco,4.5
Aparna,7.05
Mehreen Pirzada,5.5
Manav Vij,6.8
Shivaleeka Oberoi,7.7
Rana Daggubati,6.85
Felicity Kendal,6.8
Swaroop Sampat,7.4
Zain Khan,5.9
Abhimanyu Dasani,7.4
