Actor 1,Rating_Actor1,Actor 2,Rating_Actor2,Director,Rating_Director
Hemant Gopal,4.5,,,,
Hemant Pandey,6.8,,,,
Hemen Barman,7.2,,,,
Hemu Adhikari,6.4,,,,
Heramb Tripathi,4.6,,,,
Hercules,7.15,,,,
Himani Attri,5.7,,,,
Himansh Kohli,3.8000000000000003,Himansh Kohli,5.4,,
Himanshu Bhatt,6.1,,,,
Himanshu Kohli,6.0,,,,
Himanshu Malik,4.1,Himanshu Malik,7.5,,
Himesh Reshammiya,2.8285714285714287,,,,
Hina Khan,4.3,Hina Khan,4.8,,
Hiten Tejwani,8.6,,,,
Hrishikesh Mukherjee,5.8,,,Hrishikesh Mukherjee,7.266666666666667
Hrishitaa Bhatt,4.733333333333333,Hrishitaa Bhatt,5.46,,
Hrithik Roshan,6.29,Hrithik Roshan,5.85,,
Hugh Bonneville,6.7,,,,
Hussain Dalal,5.7,,,,
Hussain Kuwajerwala,6.3,,,,
I.S. Johar,6.35,I.S. Johar,6.699999999999999,I.S. Johar,6.4875
Imaaduddin Shah,7.0,Imaaduddin Shah,7.3,,
Imran Abbas,5.0,Imran Abbas,3.1,,
Imran Ahmed Khan,5.3,,,,
Imran Khan,5.966666666666666,Imran Khan,5.866666666666666,Imran Khan,4.9
Imran Rasheed,6.8,,,,
Inaamulhaq,7.4,Inaamulhaq,7.3,,
Inder Kumar,5.2,Inder Kumar,4.7,,
Indira Bansal,5.2,,,,
Indra Kumar,3.3,,,Indra Kumar,5.278571428571429
Indrajith Sukumaran,5.2,Indrajith Sukumaran,6.7,,
Indrapal Ahuja,5.9,,,,
Ira Dubey,3.7,Ira Dubey,6.6,,
Irrfan Khan,7.152941176470588,Irrfan Khan,5.807142857142857,,
Isabella Rinaldi,6.8,,,,
Isaiah,4.1,Isaiah,4.2,,
Isha Bebarta,6.9,,,,
Isha Koppikar,4.666666666666667,Isha Koppikar,5.1,,
Ishaan Khattar,4.65,Ishaan Khattar,4.5,,
Ishrat Ali,4.615384615384615,Ishrat Ali,4.6,,
Ishteyak Arif,5.8,,,,
Ishwar Singh,4.7,,,,
Iti Acharya,4.0,,,,
J. Sreeniwas Rao,4.5,,,,
J.D. Chakravarthi,5.1,J.D. Chakravarthi,5.0,J.D. Chakravarthi,5.1000000000000005
J.S. Randhawa,5.7,,,J.S. Randhawa,5.7
Jackie Shroff,5.187179487179487,Jackie Shroff,5.014814814814815,,
Jackky Bhagnani,4.9799999999999995,Jackky Bhagnani,4.3,,
Jacqueline Fernandez,4.65,Jacqueline Fernandez,4.1499999999999995,,
Jagdeep,4.449999999999999,Jagdeep,5.2,Jagdeep,5.6
Jahan Bloch,4.6,,,,
Jahangir Khan,7.2,,,,
Jai Kalra,3.4,,,,
Jaideep Ahlawat,5.5,,,,
Jairaj,7.6,,,,
Jaishankar,3.7,,,,
Jalal Agha,5.933333333333334,Jalal Agha,6.5,Jalal Agha,5.8
Jamuna,4.4,Jamuna,6.375,,
Jana Sue Memel,4.3,,,,
Janhvi Kapoor,4.9,,,,
Jannat Shekhawat,6.7,,,,
Jason Lewis,4.7,,,,
Jaspinder Cheema,6.7,,,,
Jass Bhatia,6.0,,,,
Jasti Hemambar,5.65,,,,
Jatin Goswami,6.3,,,,
Jatin Grewal,3.5,,,,
Jatin Khurana,4.6,,,,
Javed Abdi,3.6,,,,
Javed Jaffrey,5.699999999999999,Javed Jaffrey,5.375,,
Javed Khan,5.05,Javed Khan,3.4499999999999997,,
Jay Bhanushali,4.4,,,,
Jay Mehta,5.85,,,,
Jay Solanki,8.3,,,,
Jaya Bachchan,5.625,Jaya Bachchan,7.133333333333334,,
Jayalalitha J,7.1,,,,
Jayam Ravi,5.4,,,,
Jayamalini,6.6,Jayamalini,5.8,,
Jayant Kripalani,7.1,Jayant Kripalani,7.4,,
Jayaram,4.2,,,,
Jayesh Raj,5.1,,,,
Jayprakkash Shaw,3.9,,,Jayprakkash Shaw,4.475
Jayshree Arora,2.0,Jayshree Arora,6.6,,
Jayshree Gadkar,6.699999999999999,Jayshree Gadkar,6.033333333333334,,
Jeet,6.300000000000001,,,,
Jeetendra,5.408988764044944,Jeetendra,5.588888888888889,,
Jeevan,7.0,Jeevan,6.2,,
Jeff Zimbalist,6.1,,,,
Jennifer Kendal,7.5,,,,
Jesse Metcalfe,6.2,,,,
Jigna Bharadhwaj,6.1,,,,
Jigna Bhardwaj,5.8999999999999995,,,,
Jiiva,3.5,,,,
Jim Sarbh,7.5,Jim Sarbh,7.6,,
Jimmy Sharma,6.5,,,,
Jimmy Sheirgill,5.4350000000000005,Jimmy Sheirgill,5.72,,
Jisshu Sengupta,7.6,,,,
Jitendra Kumar,7.0,Jitendra Kumar,5.8,,
Jitendra Rai,4.8,,,,
Jitendra Tiwari,5.7,,,,
Joginder Shelly,4.7,Joginder Shelly,5.0,Joginder Shelly,5.0
John Abraham,6.2318181818181815,John Abraham,5.583333333333333,,
John Cawas,3.4,,,,
Johnny Baweja,3.1,,,,
Johnny Walker,4.7,,,,
Joseph Vijay,4.720000000000001,,,,
Josh Hartnett,4.6,,,,
Joy Mukherjee,5.785714285714286,Joy Mukherjee,5.866666666666667,Joy Mukherjee,6.8
Judi Dench,6.6,,,,
Jugal Hansraj,5.050000000000001,Jugal Hansraj,4.6,Jugal Hansraj,4.9
Juhaina Ahsan,6.7,,,,
Juhi Babbar,3.3,,,,
Juhi Chawla,5.671428571428572,Juhi Chawla,5.823529411764706,,
Julia Datt,3.1,,,,
Julian Sands,7.6,,,,
Jyoti Chandekar,6.9,,,,
Jyoti Swaroop,6.4,,,Jyoti Swaroop,6.475
Jyotika,6.5,Jyotika,6.4,,
K. Gauri,2.6,,,,
K. Raghavendra Rao,6.7,,,K. Raghavendra Rao,5.625
K.K. Raina,7.6,K.K. Raina,6.9,,
K.L. Saigal,6.516666666666667,,,,
Kabina Maharjan,7.0,,,,
Kabir Bedi,8.0,Kabir Bedi,4.885714285714286,,
Kader Kashmiri,5.8,,,Kader Kashmiri,5.35
Kader Khan,4.2,Kader Khan,4.8,,
Kaifi Azmi,7.0,,,,
Kainaz Motivala,4.9,Kainaz Motivala,5.9,,
Kajal Aggarwal,5.6,Kajal Aggarwal,5.833333333333333,,
Kajol,5.614285714285714,Kajol,6.36,,
Kalki Koechlin,7.075,Kalki Koechlin,6.025,,
Kamal Adib,5.4,,,,
Kamal Haasan,6.709677419354839,Kamal Haasan,6.266666666666667,Kamal Haasan,7.325
Kamal Mehra,5.8,,,,
Kamal Rashid Khan,1.4,,,,
Kamal Sadanah,4.4,,,Kamal Sadanah,5.6
Kamalika Chanda,5.300000000000001,,,,
Kamini Kaushal,7.25,Kamini Kaushal,6.92,,
Kanak Mukherjee,6.2,,,,
Kanak Pandey,6.0,,,,
Kanan Kaushal,6.5,,,,
Kanchan Awasthi,3.5,Kanchan Awasthi,5.2,,
Kangana Ranaut,5.958333333333333,Kangana Ranaut,5.45,,
Kanika Batra,7.05,,,Kanika Batra,6.6
Kanika Verma,7.0,,,,
Kannan Arunachalam,5.4,,,,
Kannanunni,9.0,,,,
Kanwaljit Singh,6.5,Kanwaljit Singh,4.9,,
Kapil Arya,2.7,,,,
Kapil Jhaveri,4.5,,,,
Kapil Sharma,4.4,Kapil Sharma,5.7,Kapil Sharma,4.6
Karamaveer Chaudhary,7.0,,,,
Karamveer Choudhary,8.2,Karamveer Choudhary,7.0,,
Karan,8.1,,,,
Karan Arora,7.4,,,,
Karan Deol,4.6,,,,
Karan Dewan,5.7,Karan Dewan,6.75,,
Karan Kundra,4.2,Karan Kundra,4.5,,
Karan Razdan,4.9,,,Karan Razdan,4.025
Karan Shah,5.6,Karan Shah,4.45,,
Karan Sharma,6.949999999999999,,,,
Karan Singh Grover,6.9,Karan Singh Grover,4.1,,
Karann Nathh,5.866666666666667,Karann Nathh,2.4,,
Karanveer,9.1,,,,
Karanvir Bohra,3.8000000000000003,,,,
Kareena Kapoor,5.088888888888889,Kareena Kapoor,5.7,,
Karim Hajee,5.9,,,,
Karisma Kapoor,4.1571428571428575,Karisma Kapoor,4.883333333333334,,
Karthik,5.8,,,,
Kartik Aaryan,6.377777777777777,Kartik Aaryan,4.2,,
Kartik Elangovan,5.6,,,,
Karwarkar Bhavika,6.8,,,,
Kasam Ali,4.6,,,Kasam Ali,4.3
Kashmira Irani,7.5,,,,
Kashmira Shah,4.75,Kashmira Shah,4.6000000000000005,Kashmira Shah,4.9
Kavin Dave,6.0,Kavin Dave,4.9,,
Kavita Kapoor,4.8,,,,
Kavita Tripathi,6.8,,,,
Kay Kay Menon,6.753333333333333,Kay Kay Menon,6.25,,
Kayoze Irani,6.7,,,,
Kedar Kapoor,6.1,,,Kedar Kapoor,6.383333333333333
Keshto Iqbal,4.0,,,,
Ketki Dave,3.1,,,,
Kev Clinsc,5.3,,,,
Khalil,5.3,,,,
Kiara Advani,4.2,Kiara Advani,5.8999999999999995,,
Kilam Amit,8.9,,,,
Kimi Katkar,4.6,Kimi Katkar,5.0249999999999995,,
Kiran Bedi,7.6,,,,
Kiran Janjani,3.5,Kiran Janjani,4.4,,
Kiran Kumar,6.3,Kiran Kumar,3.6666666666666665,Kiran Kumar,5.4
Kirron Kher,6.050000000000001,Kirron Kher,6.6,,
Kirti Adarkar,8.3,,,,
Kirti Azad,7.5,,,,
Kirti Kulhari,6.0,Kirti Kulhari,5.75,,
Kirti Singh,4.4,Kirti Singh,3.9,,
Kishan Shrikanth,7.2,,,Kishan Shrikanth,7.2
Kishore Anand Bhanushali,4.1,,,,
Kishore Kumar,6.616666666666667,Kishore Kumar,6.325,Kishore Kumar,7.949999999999999
Kishore Kumar G.,6.9,,,,
Kishore Sahu,6.1,,,Kishore Sahu,6.375
Kitu Gidwani,6.0,,,,
Kollam Ajith,4.5,,,,
Komal Singh,5.4,,,,
Konkona Sen Sharma,6.385714285714286,Konkona Sen Sharma,6.975,Konkona Sen Sharma,7.5
Kookie Gulati,6.8,,,Kookie Gulati,5.15
Kranti Prakash Jha,6.7,Kranti Prakash Jha,6.1,,
Krishan Kumar,4.825,,,,
Krishna Abhishek,4.55,Krishna Abhishek,5.85,,
Krishna Chaturvedi,4.0,,,,
Krishna Ghattamaneni,6.1,,,Krishna Ghattamaneni,5.1
Krishnakant Dalvi,7.9,,,,
Krishnamraju,6.3,,,,
Krishnendu Adhikari,5.4,,,,
Kristin Kreuk,3.7,,,,
Kritika Sachdeva,8.9,Kritika Sachdeva,2.1,,
Krrish Chhabria,7.9,,,,
Kshitij Sharma,5.45,,,Kshitij Sharma,6.1000000000000005
Kulbhushan Kharbanda,6.4,Kulbhushan Kharbanda,6.56,,
Kuldeep Patil,6.6,,,,
Kumaar Aadarsh,4.85,,,Kumaar Aadarsh,5.0
Kumar Ganesh,6.7,,,,
Kumar Gaurav,5.575,Kumar Gaurav,6.2,,
Kumar Neeraj,6.0,,,,
Kumari Naaz,7.0,Kumari Naaz,7.1,,
Kumkum,6.3,Kumkum,5.74,,
Kumud Mishra,8.0,Kumud Mishra,5.0,,
Kunaal Roy Kapur,5.366666666666667,Kunaal Roy Kapur,5.8,Kunaal Roy Kapur,6.8
Kunal Bhange,7.3,,,,
Kunal Kapoor,6.314285714285715,,,,
Kunal Khemu,6.36,Kunal Khemu,5.24,,
Kunal Kohli,5.4,,,Kunal Kohli,5.283333333333333
Kunj Anand,9.3,,,,
Kuntaa Nikkil,7.199999999999999,,,Kuntaa Nikkil,7.199999999999999
Kushagra Anand,3.6,,,,
Laboni Sarkar,5.3,,,,
Lakshmi,6.1,,,,
Lakshmi Kanta,6.7,,,,
Lalit Parimoo,5.6,,,,
Lalita Pawar,7.4,Lalita Pawar,6.5,,
Lalu Ram,8.0,,,,
Latif Faiziyev,6.1,,,Latif Faiziyev,5.9
Latika,7.4,,,,
Lauren Spartano,7.9,,,,
Laxmikant Berde,5.766666666666666,,,,
Leela Chitnis,6.699999999999999,Leela Chitnis,6.6,,
Leela Desai,6.5,Leela Desai,5.2,,
Leela Naidu,7.0,Leela Naidu,6.6,,
Leena Chandavarkar,6.05,Leena Chandavarkar,6.361538461538462,,
Leeza Mangaldas,6.6,,,,
Leila Advani,9.3,,,,
Lekha Pande,3.1,,,,
Lewis Tan,5.7,,,,
Lillete Dubey,5.525,Lillete Dubey,6.35,,
Linnet Mushran,8.5,,,,
Lisa Ann Walter,7.7,,,,
Lisa Ray,7.7,,,,
Lorena Franco,4.5,,,,
Lucky Ali,5.45,,,,
Lucky Kohli,1.9,,,,
Lukram Smil,5.5,,,,
Lydian Nadhaswaram,8.2,,,,
M. Ismail,7.0,,,,
M. Madhusudhana Rao,5.8,,,,
M. Parvez,5.7,,,,
Ma Anand Sheela,4.1,,,,
Madan Jain,8.0,Madan Jain,7.1,,
Madhavan,6.883333333333333,Madhavan,6.257142857142857,,
Madhu Acharya,4.3,,,,
Madhu Chakravarty,7.2,,,,
Madhu Kapoor,6.7,Madhu Kapoor,6.3,,
Madhubala,6.83,Madhubala,7.346153846153846,,
Madhura Velankar,7.0,,,,
Madhuri Dixit,6.0200000000000005,Madhuri Dixit,5.976190476190476,,
Mahek Chahal,4.2,,,,
Mahendra Sandhu,6.075,Mahendra Sandhu,6.1,,
Mahesh Anand,5.05,Mahesh Anand,4.966666666666666,,
Mahesh Babu,5.6,Mahesh Babu,4.7,,
Mahesh Jilowa,7.9,,,,
Mahesh Manjrekar,6.4,,,Mahesh Manjrekar,5.85
Mahima Chaudhry,4.566666666666666,Mahima Chaudhry,4.466666666666667,,
Mahipal,6.825,Mahipal,6.225,,
Mahmood Farooqui,7.4,,,,
Makarand Anaspure,7.3,,,,
Makrand Deshpande,7.4,Makrand Deshpande,6.075,Makrand Deshpande,4.833333333333333
Mala Sinha,6.588888888888889,Mala Sinha,6.565,,
Malaika Arora,4.75,,,,
Mallika Sherawat,3.5200000000000005,Mallika Sherawat,5.279999999999999,,
Mamhoud Chokrollahi,6.0,,,,
Mammootty,6.375,,,,
Mamta Bhatia,6.4,,,,
Mamta Kulkarni,3.8,Mamta Kulkarni,5.66,,
Manager Cheena,6.1,,,,
Manas Das,5.7,,,,
Manav Gohil,5.6,,,,
Manav Kaul,6.2,Manav Kaul,6.08,Manav Kaul,7.7
Manav Sohal,5.5,,,Manav Sohal,5.5
Mandar Jadhav,6.3,,,,
Mandy Takhar,6.3,,,,
Manek Bedi,3.8,Manek Bedi,3.9,,
Mangal Dhillon,6.6,,,,
Mangesh Desai,6.7,,,,
Mani Kaul,6.7,,,Mani Kaul,7.111111111111111
Manish Anand,4.1,,,,
Manish Bhavan,8.3,,,,
Manish Chaudhary,3.7,,,,
Manish Gupta,5.4,,,Manish Gupta,5.775
Manish Paul,3.6,Manish Paul,5.15,,
Manisha Chauhan,6.4,,,,
Manisha Kelkar,5.9,,,,
Manisha Koirala,4.88,Manisha Koirala,5.055,,
Manit Joura,7.1,,,,
Mann Bagga,6.4,,,,
Mannara Chopra,4.4,,,,
Manohar Singh,6.7,,,,
Manoj Amarnani,5.4,,,Manoj Amarnani,5.4
Manoj Bajpayee,6.651851851851852,Manoj Bajpayee,5.9111111111111105,,
Manoj Bakshi,6.9,Manoj Bakshi,6.2,,
Manoj Bidwai,6.2,,,,
Manoj Chandila,7.1,,,,
Manoj Kumar,6.153333333333333,Manoj Kumar,7.06923076923077,Manoj Kumar,6.416666666666667
Manoj Pahwa,7.6,,,,
Manoj Punj,5.5,,,,
Mansinghms,7.3,,,,
Mansoor Ali Khan,7.0,Mansoor Ali Khan,3.7,,
Mantosh Kumar,6.4,,,,
Manu Gargi,4.3,,,,
Manu Rishi Chadha,5.6,,,,
Marilia Colturato,4.8,,,,
Mark Ellam,7.4,,,,
Mark Rylance,6.4,,,,
Martin Henderson,6.2,,,,
Martin Sheen,7.2,,,,
Mashaal Durrani,6.4,,,,
Masoom Shankar,6.8,,,,
Mast Ali,6.6,Mast Ali,7.3,,
Mastan Alibhai Burmawalla,5.777777777777778,,,,
Master Akash,4.6,,,,
Master Baboo,7.0,,,,
Master Bhagwan,5.4,Master Bhagwan,6.14,Master Bhagwan,6.5
Master Bunty,5.1,Master Bunty,4.5,,
Master Romi,7.6,Master Romi,6.0,,
Master Shams,7.9,,,,
Master Shankar,6.4,,,,
Master Vithal,6.2,,,,
Masti Ali,6.8,,,,
Maya Alagh,5.3999999999999995,,,,
Maya Basu,6.7,,,,
Mayank Agarwal,5.2,,,,
Mazhar Khan,7.2,Mazhar Khan,2.6,Mazhar Khan,6.1
Md. Faiz Alam,7.8,,,,
Meena Kumari,6.8999999999999995,Meena Kumari,6.515789473684211,,
Meena Shorey,6.9,Meena Shorey,6.3,,
Meenakshi Dixit,3.9,,,,
Meenakshi Sheshadri,6.3,Meenakshi Sheshadri,5.614285714285714,,
Meenu Hooda,6.6,,,,
Meenu Kawatra,8.5,,,,
Meera,3.1999999999999997,Meera,4.5,,
Meera Joshi,5.7,,,,
Meeraj Shah,4.8,,,,
Meezaan Jafri,6.0,,,,
Megastar Maharishi Aazaad,5.7,,,Megastar Maharishi Aazaad,5.7
Meghna Desai,1.7,,,,
Meghna Erande,5.7,,,,
Mehernosh Kapadia,6.1,,,Mehernosh Kapadia,6.1
Mehmood,6.6,Mehmood,6.488888888888889,Mehmood,6.083333333333333
Mehreen Pirzada,5.5,,,,
Mehtab,6.9,,,,
Mehul Adwani,6.0,,,,
Meka Srikanth,6.8,,,,
Menekka Arora,7.0,,,,
Mia Malkova,2.0,,,,
Mikaal,5.8,,,,
Milind Soman,6.5,Milind Soman,6.199999999999999,,
Milind Ukey,7.6,,,Milind Ukey,6.5
Mimoh Chakraborty,5.033333333333333,Mimoh Chakraborty,3.3,,
Mirza,7.3,,,,
Mishti,4.2,,,,
Mita Vashisht,7.5,Mita Vashisht,6.35,,
Mithilesh Chaturvedi,7.7,Mithilesh Chaturvedi,3.6,,
Mithun Chakraborty,5.336559139784947,Mithun Chakraborty,5.515789473684211,,
Mohammad Amir Naji,6.4,,,,
Mohammad Chacha,8.2,,,,
Mohammad Reza Golzar,3.8,,,,
Mohan Agashe,6.6375,Mohan Agashe,5.5,,
Mohan Azaad,3.5,,,,
Mohan Babu,7.65,Mohan Babu,6.9,Mohan Babu,4.8
Mohan Choti,7.4,Mohan Choti,6.1,Mohan Choti,4.5
Mohan Gokhale,6.5,,,,
Mohan Kapur,6.5,,,,
Mohanlal,7.08,Mohanlal,4.8,,
Mohd. Zeeshan Ayyub,5.4,,,,
Mohinder Gujral,5.8,,,,
Mohit Ahlawat,3.9,Mohit Ahlawat,7.1,,
Mohit Das,6.1,,,,
Mohit Madaan,5.2,,,,
Mohnish Bahl,6.199999999999999,Mohnish Bahl,5.35,,
Moin Khan,7.2,,,,
Mona Ambegaonkar,4.85,Mona Ambegaonkar,5.15,,
Monali Thakur,7.9,,,,
Monica Castelino,5.2,,,,
Monica Dogra,5.7,Monica Dogra,7.0,,
Moon Moon Sen,5.0,Moon Moon Sen,5.666666666666667,,
Motilal,7.0,Motilal,6.65,,
Mouli Ganguly,6.2,,,,
Moulina Midde,8.1,,,,
Moumita Goswami,7.8,,,,
Mouni Roy,6.4,Mouni Roy,7.3,,
Moushumi Chatterjee,7.6,Moushumi Chatterjee,6.205263157894737,,
Mrinalini Chatterjee,6.1,,,,
Mrinmayee Godbole,6.2,Mrinmayee Godbole,7.35,,
Ms. Jordiya Anna,3.2,,,,
Mugdha Chaphekar,7.2,Mugdha Chaphekar,7.3,,
Mugdha Godse,4.45,Mugdha Godse,4.433333333333333,,
Mukesh Agrohari,4.2,,,,
Mukesh Ahuja,6.8,,,,
Mukesh Asopa,2.7,,,,
Mukesh Choudhary,3.7,,,,
Mukesh J Bharti,2.8,,,,
Mukesh Khanna,2.9,Mukesh Khanna,5.9,,
Mukesh Rishi,6.0,Mukesh Rishi,6.199999999999999,,
Mukesh S. Bhatt,6.65,,,,
Mukta Barve,6.2,Mukta Barve,6.5,,
Mukund Krishna Kumar Nair,6.1,,,,
Mumtaz,6.0,Mumtaz,6.547826086956522,,
Mumtaz Begum,6.55,,,,
Mumtaz Shanti,6.25,Mumtaz Shanti,7.4,,
Munawwar Sultana,6.2,Munawwar Sultana,6.2,,
Munesh Nehra,5.8,,,,
Muntazir Ahmad,5.7,Muntazir Ahmad,5.883333333333333,,
Murad Ali,6.7,Murad Ali,6.3,,
Murli Sharma,3.8,,,,
Musta Ali,6.8,,,,
Muzahid Khan,7.9,,,,
Muzamil Ibrahim,6.2,,,,
N.T. Rama Rao,7.775,,,N.T. Rama Rao,7.7
N.T. Rama Rao Jr.,6.8,,,,
Nabeel Ahmed,6.2,,,,
Nachiket Patwardhan,7.7,,,,
Nafisa Ali,5.6,Nafisa Ali,5.933333333333334,,
Nagarjuna Akkineni,6.279999999999999,Nagarjuna Akkineni,6.0600000000000005,,
Nagesh,5.5,,,,
Nagesh Kukunoor,7.2,,,Nagesh Kukunoor,7.072727272727272
Nagma,8.4,Nagma,5.833333333333333,,
Naina Ganguly,8.5,,,,
Nakul Kapoor,4.6,,,,
Nalini Jaywant,6.025,Nalini Jaywant,6.625,,
Nalini Tarkhad,3.5999999999999996,,,,
Naman Bhati,8.5,,,,
Naman Jain,5.5,Naman Jain,6.9,,
Namit Das,7.7,,,,
Nana Patekar,6.333333333333333,Nana Patekar,6.6,,
Nanda,6.16,Nanda,6.652941176470588,,
Nandamuri Balakrishna,6.22,Nandamuri Balakrishna,7.7,,
Nandita Das,6.542857142857143,Nandita Das,6.514285714285714,Nandita Das,7.4
Nani,6.9,,,,
Narayan Singh Sisodia,5.0,,,,
Narendra Jha,5.6,Narendra Jha,6.2,,
Naresh Sharma,7.3,,,,
Nargis,7.454545454545454,Nargis,7.25,,
Nargis Bagheri,4.7,Nargis Bagheri,4.3,,
Narottam Bain,8.8,,,,
Narsimha Rao,6.8,,,,
Naseem Banu,6.4,Naseem Banu,7.4,,
Naseeruddin Shah,6.190697674418605,Naseeruddin Shah,6.614285714285715,Naseeruddin Shah,6.5
Nassar,5.65,Nassar,7.175,Nassar,6.1
Nassar Abdulla,5.166666666666667,Nassar Abdulla,6.8,,
Natalia Janoszek,5.3,,,,
Natalie DP,6.6,,,,
Nataneya Singh,4.8,,,,
Natasha Majhi,5.3,,,,
Natiker,6.6,,,,
Natty Kumar,3.9,,,,
Nauheed Cyrusi,5.0,,,,
Naushaad Abbas,3.8,,,,
Naved Aslam,6.7,,,,
Naveen Andrews,6.5,,,,
Naveen Bawa,2.4,,,,
Naveen Kasturia,7.1,,,,
Naveen Krishna,8.4,,,,
Navin Berry,4.2,,,,
Navin Nischol,6.4363636363636365,Navin Nischol,6.2,,
Navjot Hansra,7.0,,,,
Nawazuddin Siddiqui,6.4,Nawazuddin Siddiqui,6.9,,
Nazia Hussain,5.5,Nazia Hussain,5.2,,
Nazima,7.0,Nazima,5.25,,
Nazneen,4.7,,,,
Nazneen Bhatia,6.2,,,,
Neel Bakshi,6.9,Neel Bakshi,6.6,,
Neel Deshmukh,5.8,,,,
Neelam Deysarkar,3.1,,,,
Neelima Azim,6.5,Neelima Azim,3.7,,
Neena Gupta,5.8999999999999995,Neena Gupta,6.733333333333333,,
Neenu Babu,5.5,,,,
Neera,6.6,,,,
Neha Ahuja,2.6,,,,
Neha Chauhan,6.8,Neha Chauhan,8.3,,
Neha Dhupia,4.65,Neha Dhupia,6.214285714285714,,
Neha Dubey,6.1,Neha Dubey,6.9,,
Neha Joshi,7.8,,,,
Neil Bhoopalam,6.3,Neil Bhoopalam,7.2,,
Neil Nitin Mukesh,4.779999999999999,Neil Nitin Mukesh,4.533333333333333,,
Nicolos Kostopoulos,7.6,,,,
Nidhi Sunil,5.0,,,,
Nigar Sultana,6.6,,,,
Niharica Raizada,4.1,,,,
Nikhil Dwivedi,4.85,,,,
Nikita Anand,4.0,,,,
Nikita Sharma,8.0,,,,
Nilamadhab Panda,7.733333333333333,,,,
Nilesh Maniyar,7.2,,,,
Nimmi,6.225,Nimmi,6.85,,
Niranjan Sharma,8.7,,,,
Nirmal Pandey,7.2,Nirmal Pandey,7.15,,
Nirupa Roy,6.76,Nirupa Roy,7.175,,
Nisar Ahmad Ansari,6.35,,,Nisar Ahmad Ansari,6.066666666666666
Nishan Nanaiah,6.5,,,,
Nishant Rai,7.0,,,,
Nishat Mallick,3.3,,,,
Nishi Neha Mishra,9.4,,,,
Nishikant Dixit,5.8,,,,
Nishikant Kamat,2.3,Nishikant Kamat,6.5,Nishikant Kamat,7.359999999999999
Nissar,6.0,,,,
Nitesh Shrivastava,7.5,,,,
Nitesh Tiwari,7.5,,,Nitesh Tiwari,7.975
Nithiin,4.466666666666667,Nithiin,4.4,,
Nitin Goel,6.3,,,,
Nitin Sethi,6.6,,,,
Nivedita Bhattacharya,6.0,Nivedita Bhattacharya,3.5,,
Nivedita Chandel,6.6,,,,
Nivin Pauly,7.5,,,,
Noor Jehan,6.2,,,,
Noor Mohammad Charlie,6.9,,,,
Nora Fatehi,5.5,Nora Fatehi,7.2,,
Nushrat Bharucha,7.1,Nushrat Bharucha,5.95,,
Nutan,6.659999999999999,Nutan,6.738095238095238,,
O.P. Ralhan,7.1,,,O.P. Ralhan,6.666666666666667
Om Prakash,6.6,Om Prakash,6.2,Om Prakash,6.7
Om Puri,6.513333333333334,Om Puri,5.907692307692307,,
Omar Abdullah,6.8,,,,
Omkar Bhatkar,6.9,,,,
Omkar Das Manikpuri,5.533333333333334,Omkar Das Manikpuri,6.1,,
Omkar Kapoor,6.6,Omkar Kapoor,7.2,,
Op Rai,6.4,,,,
Owen Wilson,5.65,,,,
P.L. Santoshi,7.1,,,P.L. Santoshi,6.12
P.P. Bajaj,9.1,,,,
Padmadevi,6.3,,,,
Pahadi Sanyal,7.0,Pahadi Sanyal,7.0,,
Paidi Jairaj,6.36,Paidi Jairaj,7.7,,
Pakhi Hegde,7.6,,,,
Pakija Begam,6.8,,,,
Pankaj Berry,6.066666666666666,Pankaj Berry,5.5,,
Pankaj Dheer,5.0,Pankaj Dheer,7.1,,
Pankaj Kapur,7.171428571428572,Pankaj Kapur,8.0,Pankaj Kapur,4.7
Pankaj Tripathi,5.75,Pankaj Tripathi,6.4,,
Paoli Dam,5.550000000000001,Paoli Dam,6.4,,
Parag Ajgaonkar,5.9,,,,
Parambrata Chattopadhyay,5.6,Parambrata Chattopadhyay,7.35,,
Paresh Rawal,6.681818181818182,Paresh Rawal,6.566666666666666,,
Parikshit Sahni,6.7,Parikshit Sahni,6.5200000000000005,,
Parineeti Chopra,4.25,Parineeti Chopra,6.171428571428572,,
Parshwanath Yeshwant Altekar,8.3,,,,
Parth Singh Chauhan,5.8,,,,
Partho A. Gupte,7.8,Partho A. Gupte,7.4,,
Partho Ghosh,5.1,,,Partho Ghosh,4.9071428571428575
Parveen Babi,7.0,Parveen Babi,6.300000000000001,,
Parveen Kaur,6.8,,,,
Parvin Dabas,5.2,Parvin Dabas,6.2,Parvin Dabas,4.8
Parzaan Dastur,6.4,Parzaan Dastur,6.2,,
Patralekhaa Paul,5.699999999999999,Patralekhaa Paul,6.65,,
Pavan Buragohain,6.8,,,,
Pawan Kumar Sharma,4.9,,,Pawan Kumar Sharma,6.5
Pawan Malhotra,7.65,Pawan Malhotra,8.5,,
Pawan Rajput,5.6,,,,
Pawan Waval,8.6,,,,
Payal Rohatgi,3.5,Payal Rohatgi,4.6,,
Perena Agarwal,5.6,,,,
Peter Pedrero,4.8,,,,
Pierce Brosnan,6.1,,,,
Pilla Srinivas,4.5,,,,
Pooja Bhatt,5.15,Pooja Bhatt,5.8538461538461535,Pooja Bhatt,4.275
Pooja Bisht,4.8,,,,
Pooja Kumar,8.1,,,,
Poonam Agarwal,7.0,,,,
Poonam Dhillon,4.375,Poonam Dhillon,5.96875,,
